iter	Passed	Remaining
0	0	428
1	0	434
2	1	436
3	1	432
4	2	430
5	3	521
6	3	493
7	3	479
8	4	467
9	4	457
10	4	449
11	5	443
12	5	435
13	6	463
14	6	458
15	7	456
16	7	455
17	8	454
18	9	489
19	10	497
20	10	494
21	10	486
22	11	484
23	11	481
24	12	477
25	12	471
26	12	467
27	13	464
28	13	459
29	14	456
30	14	454
31	14	452
32	15	447
33	15	445
34	16	443
35	16	441
36	16	439
37	17	437
38	17	436
39	18	435
40	18	434
41	19	433
42	19	433
43	19	432
44	20	431
45	20	427
46	21	425
47	21	424
48	21	423
49	22	422
50	22	421
51	23	420
52	23	419
53	23	419
54	24	422
55	25	422
56	25	421
57	25	420
58	26	419
59	26	418
60	27	417
61	27	416
62	27	415
63	28	414
64	28	414
65	29	413
66	29	412
67	30	411
68	30	410
69	30	409
70	31	408
71	31	407
72	31	405
73	32	404
74	32	404
75	33	403
76	33	403
77	34	402
78	34	401
79	34	401
80	35	400
81	35	400
82	36	400
83	36	399
84	37	398
85	37	398
86	37	397
87	38	397
88	38	396
89	39	396
90	39	396
91	40	395
92	40	394
93	40	393
94	41	393
95	41	393
96	42	393
97	42	392
98	43	391
99	43	391
100	43	390
101	44	389
102	44	389
103	45	388
104	45	387
105	47	397
106	47	397
107	48	398
108	48	398
109	49	398
110	49	397
111	50	396
112	50	396
113	50	395
114	51	394
115	51	393
116	52	392
117	52	393
118	53	393
119	53	393
120	54	393
121	54	393
122	55	393
123	55	393
124	56	392
125	56	392
126	57	392
127	57	391
128	58	392
129	58	392
130	59	392
131	59	393
132	61	403
133	62	404
134	63	404
135	63	405
136	64	404
137	65	406
138	65	405
139	65	404
140	66	404
141	66	404
142	67	404
143	68	404
144	68	404
145	69	403
146	69	404
147	70	404
148	70	403
149	71	403
150	71	402
151	71	401
152	72	401
153	72	399
154	73	399
155	73	397
156	74	397
157	74	396
158	74	396
159	75	396
160	76	396
161	76	395
162	76	394
163	77	394
164	77	393
165	78	392
166	78	391
167	79	391
168	79	390
169	79	389
170	80	388
171	80	388
172	80	387
173	81	386
174	81	385
175	82	385
176	82	384
177	83	383
178	83	383
179	83	382
180	84	381
181	84	380
182	85	380
183	85	379
184	85	378
185	86	377
186	86	377
187	87	376
188	87	375
189	87	374
190	88	374
191	88	373
192	89	372
193	89	372
194	90	372
195	90	371
196	91	370
197	91	370
198	91	369
199	92	368
200	92	368
201	92	367
202	93	366
203	93	365
204	93	364
205	94	363
206	94	362
207	95	361
208	95	361
209	95	361
210	96	360
211	96	360
212	97	359
213	97	358
214	98	358
215	98	357
216	98	357
217	99	356
218	99	356
219	100	355
220	100	354
221	100	353
222	101	352
223	101	352
224	102	351
225	102	351
226	102	350
227	103	349
228	103	348
229	103	348
230	104	348
231	105	348
232	105	347
233	105	346
234	106	346
235	106	345
236	107	344
237	107	344
238	108	343
239	108	343
240	108	342
241	109	342
242	109	341
243	110	341
244	110	341
245	111	340
246	111	340
247	112	340
248	112	339
249	113	339
250	113	338
251	113	338
252	114	337
253	114	337
254	115	336
255	115	336
256	116	335
257	116	334
258	116	334
259	117	333
260	117	333
261	118	332
262	118	332
263	119	332
264	119	331
265	120	331
266	120	330
267	120	329
268	121	329
269	121	328
270	121	327
271	122	327
272	122	326
273	123	326
274	123	325
275	124	325
276	124	325
277	125	324
278	125	324
279	125	323
280	126	323
281	126	322
282	127	322
283	127	321
284	128	321
285	128	320
286	128	320
287	129	319
288	129	318
289	130	318
290	130	317
291	130	317
292	131	316
293	131	316
294	132	315
295	132	315
296	132	314
297	133	313
298	133	313
299	134	312
300	134	312
301	134	311
302	135	311
303	135	310
304	136	310
305	136	309
306	136	309
307	137	308
308	137	308
309	138	307
310	138	307
311	139	306
312	139	306
313	140	306
314	140	305
315	141	305
316	141	304
317	141	304
318	142	303
319	142	303
320	143	302
321	143	302
322	143	301
323	144	301
324	144	300
325	145	300
326	145	299
327	145	298
328	146	298
329	146	298
330	148	299
331	148	298
332	149	298
333	149	297
334	149	297
335	150	296
336	150	296
337	151	295
338	151	295
339	151	294
340	152	293
341	152	293
342	152	292
343	153	292
344	153	291
345	154	291
346	154	290
347	154	290
348	155	289
349	155	289
350	156	288
351	156	288
352	156	287
353	157	287
354	157	286
355	158	285
356	158	285
357	158	284
358	159	284
359	159	283
360	160	283
361	160	283
362	161	282
363	161	282
364	161	281
365	162	280
366	162	280
367	162	279
368	163	279
369	163	278
370	164	278
371	164	277
372	164	276
373	165	276
374	165	275
375	165	275
376	166	274
377	166	274
378	166	273
379	167	272
380	167	272
381	168	272
382	168	271
383	169	271
384	169	270
385	169	270
386	170	269
387	170	269
388	170	268
389	171	267
390	171	267
391	172	266
392	172	266
393	172	265
394	173	264
395	173	264
396	173	263
397	174	263
398	174	262
399	174	262
400	175	261
401	175	261
402	176	261
403	176	260
404	177	260
405	177	259
406	177	259
407	178	258
408	178	258
409	179	257
410	179	257
411	180	257
412	180	256
413	181	256
414	181	255
415	181	255
416	182	254
417	182	254
418	183	254
419	183	253
420	184	253
421	184	252
422	185	252
423	185	252
424	186	251
425	186	251
426	187	251
427	187	250
428	187	250
429	188	249
430	188	249
431	189	249
432	190	249
433	190	248
434	191	248
435	191	247
436	192	247
437	192	246
438	192	246
439	193	246
440	193	245
441	194	244
442	194	244
443	194	244
444	195	243
445	195	243
446	196	242
447	196	242
448	196	241
449	197	241
450	197	240
451	198	240
452	198	239
453	199	239
454	199	238
455	199	238
456	200	238
457	200	237
458	201	237
459	201	236
460	202	236
461	202	235
462	202	235
463	203	234
464	203	234
465	204	233
466	204	233
467	204	232
468	205	232
469	205	231
470	206	231
471	206	230
472	206	230
473	207	229
474	207	229
475	207	228
476	208	228
477	208	227
478	209	227
479	209	226
480	209	226
481	210	226
482	210	225
483	211	225
484	211	224
485	212	224
486	212	224
487	213	223
488	213	223
489	214	222
490	214	222
491	214	221
492	215	221
493	215	220
494	215	220
495	216	219
496	216	219
497	217	219
498	217	218
499	218	218
500	218	218
501	219	217
502	219	217
503	220	216
504	220	216
505	221	215
506	221	215
507	222	215
508	222	214
509	222	214
510	223	213
511	223	213
512	224	212
513	225	212
514	225	212
515	226	212
516	226	211
517	227	211
518	227	211
519	228	210
520	228	210
521	229	209
522	229	209
523	229	208
524	230	208
525	230	207
526	231	207
527	232	207
528	233	207
529	233	207
530	236	208
531	237	208
532	237	208
533	238	207
534	238	207
535	238	206
536	239	206
537	239	205
538	239	205
539	240	204
540	240	204
541	240	203
542	241	203
543	241	202
544	242	202
545	242	201
546	242	201
547	243	200
548	243	200
549	244	199
550	244	199
551	244	198
552	245	198
553	245	197
554	246	197
555	246	196
556	247	196
557	247	196
558	247	195
559	248	195
560	248	194
561	250	194
562	250	194
563	251	194
564	252	194
565	252	193
566	253	193
567	253	193
568	254	192
569	254	192
570	255	191
571	256	191
572	256	191
573	257	191
574	258	190
575	258	190
576	259	190
577	259	189
578	260	189
579	261	189
580	262	189
581	262	188
582	263	188
583	263	187
584	264	187
585	264	186
586	264	186
587	265	185
588	265	185
589	266	184
590	266	184
591	267	184
592	267	183
593	268	183
594	268	182
595	269	182
596	269	181
597	270	181
598	270	181
599	270	180
600	271	180
601	271	179
602	272	179
603	272	178
604	272	178
605	273	177
606	274	177
607	274	177
608	275	176
609	275	176
610	276	175
611	276	175
612	276	174
613	277	174
614	277	173
615	278	173
616	278	172
617	278	172
618	279	171
619	279	171
620	280	170
621	280	170
622	280	170
623	281	169
624	282	169
625	282	168
626	283	168
627	283	167
628	283	167
629	284	166
630	284	166
631	285	165
632	285	165
633	286	165
634	286	164
635	287	164
636	287	164
637	288	163
638	288	163
639	289	162
640	289	162
641	290	161
642	290	161
643	291	160
644	291	160
645	292	160
646	292	159
647	292	159
648	293	158
649	293	158
650	294	157
651	294	157
652	295	156
653	295	156
654	295	155
655	296	155
656	297	155
657	297	154
658	297	154
659	298	153
660	298	153
661	299	152
662	299	152
663	299	151
664	300	151
665	300	150
666	301	150
667	301	149
668	302	149
669	302	149
670	303	148
671	303	148
672	304	147
673	304	147
674	304	146
675	305	146
676	305	145
677	306	145
678	306	144
679	306	144
680	307	143
681	307	143
682	308	143
683	308	142
684	309	142
685	309	141
686	310	141
687	310	140
688	311	140
689	311	140
690	312	139
691	312	139
692	312	138
693	313	138
694	313	137
695	314	137
696	314	136
697	315	136
698	315	135
699	315	135
700	316	134
701	316	134
702	317	133
703	317	133
704	318	133
705	318	132
706	319	132
707	319	131
708	319	131
709	320	130
710	320	130
711	321	129
712	321	129
713	321	128
714	322	128
715	322	127
716	322	127
717	323	127
718	324	126
719	324	126
720	325	125
721	325	125
722	325	124
723	326	124
724	326	123
725	327	123
726	327	122
727	327	122
728	328	122
729	328	121
730	328	121
731	329	120
732	329	120
733	330	119
734	330	119
735	331	118
736	331	118
737	331	117
738	332	117
739	332	116
740	333	116
741	333	115
742	333	115
743	334	115
744	334	114
745	335	114
746	335	113
747	336	113
748	336	112
749	336	112
750	337	111
751	337	111
752	337	110
753	338	110
754	338	109
755	339	109
756	339	109
757	340	108
758	340	108
759	340	107
760	341	107
761	341	106
762	342	106
763	342	105
764	343	105
765	343	104
766	343	104
767	344	104
768	344	103
769	345	103
770	345	102
771	346	102
772	346	101
773	346	101
774	347	100
775	347	100
776	348	99
777	348	99
778	349	99
779	349	98
780	349	98
781	350	97
782	350	97
783	351	96
784	351	96
785	351	95
786	354	95
787	355	95
788	355	95
789	356	94
790	356	94
791	357	93
792	357	93
793	358	93
794	359	92
795	359	92
796	360	91
797	360	91
798	360	90
799	361	90
800	361	89
801	362	89
802	362	88
803	363	88
804	363	88
805	363	87
806	364	87
807	364	86
808	365	86
809	365	85
810	365	85
811	366	84
812	366	84
813	367	83
814	367	83
815	368	83
816	368	82
817	369	82
818	369	81
819	369	81
820	370	80
821	370	80
822	371	79
823	371	79
824	372	78
825	372	78
826	372	78
827	373	77
828	373	77
829	374	76
830	374	76
831	375	75
832	375	75
833	376	74
834	376	74
835	377	74
836	377	73
837	378	73
838	378	72
839	378	72
840	379	71
841	379	71
842	380	70
843	380	70
844	380	69
845	381	69
846	381	68
847	382	68
848	382	68
849	383	67
850	383	67
851	383	66
852	384	66
853	384	65
854	385	65
855	385	64
856	386	64
857	386	63
858	387	63
859	387	63
860	387	62
861	388	62
862	388	61
863	389	61
864	389	60
865	390	60
866	390	59
867	391	59
868	391	59
869	392	58
870	393	58
871	393	57
872	394	57
873	394	56
874	394	56
875	395	56
876	396	55
877	396	55
878	397	54
879	397	54
880	398	53
881	399	53
882	399	52
883	400	52
884	400	52
885	401	51
886	401	51
887	402	50
888	402	50
889	403	49
890	404	49
891	404	48
892	405	48
893	405	48
894	406	47
895	406	47
896	407	46
897	407	46
898	407	45
899	408	45
900	408	44
901	409	44
902	410	44
903	410	43
904	411	43
905	411	42
906	412	42
907	412	41
908	413	41
909	413	40
910	414	40
911	414	40
912	415	39
913	415	39
914	416	38
915	416	38
916	417	37
917	417	37
918	417	36
919	418	36
920	418	35
921	419	35
922	419	35
923	420	34
924	420	34
925	421	33
926	421	33
927	421	32
928	422	32
929	422	31
930	423	31
931	423	30
932	424	30
933	424	29
934	424	29
935	425	29
936	425	28
937	426	28
938	426	27
939	427	27
940	427	26
941	427	26
942	428	25
943	428	25
944	429	24
945	429	24
946	429	24
947	430	23
948	430	23
949	431	22
950	431	22
951	432	21
952	432	21
953	432	20
954	433	20
955	433	19
956	434	19
957	434	19
958	435	18
959	435	18
960	436	17
961	436	17
962	436	16
963	437	16
964	437	15
965	438	15
966	438	14
967	439	14
968	440	14
969	440	13
970	441	13
971	441	12
972	441	12
973	442	11
974	442	11
975	443	10
976	443	10
977	444	9
978	444	9
979	444	9
980	445	8
981	445	8
982	446	7
983	446	7
984	446	6
985	447	6
986	447	5
987	448	5
988	448	4
989	449	4
990	449	4
991	450	3
992	450	3
993	451	2
994	451	2
995	451	1
996	452	1
997	452	0
998	453	0
999	453	0
